rule_id,kind,file,line,label_or_value,born_by,date,receipt,revert_if,note
gate:conviction:confident_needs_no_cautions,gate,src/racing_edge/selection/conviction.py,125,not self.cautions,taught,2026-08-22,"conviction.py:100-103 the master 2026-08-22 'just do the opposite... but dont go all nuclear on the system' — a caution warns, never erases, but blocks CONFIDENT",a week of marked mornings reads worse than the week before this shipped (conviction.py:105-106),
term:conviction:stale_anchor_scans_both,term,src/racing_edge/selection/conviction.py,138,"any(""STALE"" in f for f in (*self.flags, *self.cautions))",taught,2026-08-31,"conviction.py:136-138 the standing demotion law (the master, 2026-08-22) moved STALE flag->caution on 2026-08-31; the property scans both so readers keep behaviour",,demoted 2026-08-31
gate:conviction:same_code_runs_first,gate,src/racing_edge/selection/conviction.py,172,"hist = same_code_runs(history, race.code)",field-tested,2026-07-21,conviction.py:168-171 contamination audit: a horse that won two jumps races read RED-HOT for a flat handicap; a hurdles win at the track scored 'course winner',,"filter first, window after"
aligned:well-in,aligned,src/racing_edge/selection/conviction.py,211/355,well-in ({mr.verdict}{grade}),taught,2026-07-26,conviction.py:178-180 the master 2026-07-26 'the well-in claim is skewing all your picks — it is ONE piece of the jigsaw',,ONE label whatever the gap; the 'heavily treated' magnitude label was retired
term:conviction:up_in_grade_rider,term,src/racing_edge/selection/conviction.py,186,""" but UP IN GRADE — won in Cl{X}, today Cl{Y}""",taught,2026-07-26,mark.py:26-28 the master 2026-07-26 'well-in can mean nothing if he is up in grade',,"rides inside the well-in label, never a separate dot"
gate:conviction:well_in_needs_corroboration,gate,src/racing_edge/selection/conviction.py,350,corroborated = finisher | excuse last time | RED-HOT | won last time out,taught,2026-08-17,conviction.py:190-193 the master 2026-08-17 'we base everything on well in? why... the well in has proven only a rough guide and has not been reliable',,
caution:well-in-anchor-STALE,caution,src/racing_edge/selection/conviction.py,207,"well-in anchor STALE (last win {mr.since} runs back) — placer risk, not a missed handicapper",field-tested,2026-07-25,conviction.py:198-201 the Woodstock audit: an exposed loser's mark erodes BECAUSE it keeps losing — 'a placer's profile wearing the winning profile's coat',,demoted flag->caution 2026-08-31 after Dapper Guest 9/2 won crossed on this label
caution:well-in-NOT-counted,caution,src/racing_edge/selection/conviction.py,361,"well-in NOT counted — no current form or manner behind it (rough guide only, the master 2026-08-17)",taught,2026-08-17,"conviction.py:357-360: an INFORMATIONAL note was EXECUTING horses (dozens crossed 08-22 and 08-27 for the absence of a positive, which nobody ever taught as a fault)",,demoted flag->caution 2026-08-27
caution:first-run-off-a-raised-mark,caution,src/racing_edge/selection/conviction.py,267,first run off a raised mark ({mr.verdict}) with the bounce broken — ...,doorbell,2026-08-27,"morningread.py:212-221 law 3g: the week of 2026-08-24 cohort went 0-for-5 (Vaguely Royal, Molly Mac, Is She Now, Kanzi, Town Queen 15/8F LAST); his word 'do the above'",,a caution not a flag: Too Much Trevor won 10/1 crossed on the same profile — honest cohort 1-for-6
threshold:conviction:quick_return_days<60,threshold,src/racing_edge/selection/conviction.py,259,runner.days_since_run < 60,UNRECEIPTED,,"the master said 'a long absence' (law 3g-ii, morningread.py:234); 60 is the apprentice's cut — the only receipts are 70 days (Town Queen, LAST) and 79 (Forty Years On, WON)",,the same 60 is reused at conviction.py:402 and 406
threshold:conviction:dominant_2_wins_in_5,threshold,src/racing_edge/selection/conviction.py,253,sum(1 for h in hist[:5] if h.position == 1) >= 2,taught,2026-08-29,"morningread.py:106-114 law 2b-iii, the master 2026-08-29 'a big yard... they know what needs to be done to get a horse fit... class horses will run well fresh'",,'2 wins in the last 5' is the apprentice's operationalisation of DOMINANT
threshold:conviction:young_carveout_age<=3,threshold,src/racing_edge/selection/conviction.py,258,runner.age is not None and runner.age <= 3,taught,2026-08-29,"conviction.py:254-256 the master 2026-08-29 on Kokbastau: 'a young horse improving could be anything, he is still ahead of the handicapper'",,the receipt horse was a 3yo; the <=3 line is the apprentice's
gate:conviction:class_hike_rearms_bounce,gate,src/racing_edge/selection/conviction.py,239,_hike = race.race_class < mr.win_class,taught,2026-08-27,"conviction.py:233-237 Gore Point, 2-1-1-1-1 back out in 5 days, 5/6F in a Cl2 chase 12lb out of his depth — LAST, beaten 50L: the bounce carries a horse at his own grade",,
caution:raised-since-last-win,caution,src/racing_edge/selection/conviction.py,303,raised {mr.verdict} since last win,taught,2026-08-28,morningread.py:264-265 law 3g-iii 'An unanswered raise keeps the caution'; RULE_AUDIT.md:38 had found the label itself with 'no quote' and a losing receipt,,"born unreceipted (crossed Too Much Trevor, won 10/1), demoted to caution 2026-08-27, retro-housed by law 3g-iii"
gate:conviction:answered_raise,gate,src/racing_edge/selection/conviction.py,292,placed <= 3 AND h.official_rating >= today's AND h.race_class <= today's,taught,2026-08-28,morningread.py:256-263 the master's word 'implement' after Drymee WON 11/8 banked NOT-confident on this caution while his record held a 3rd in a Cl3 off today's mark,,
gate:conviction:answer_read_in_the_comments,gate,src/racing_edge/selection/conviction.py,300,"read_manner(h.comment or """")[0] != ""non_finisher""",taught,2026-08-28,morningread.py:268-275 Machete Beach 5/2F LAST beaten 38L — his 'answer' read 'toiling... well held': a placing whose comment is a surrender is a REFUSAL,,a blank comment still counts here; the study table is stricter (blank = OWED)
flag:no-completed-chase,flag,src/racing_edge/selection/conviction.py,312,"no completed chase — jumping unproven; hurdle form does not buy fences (Lady Kara, 2026-08-27)",doorbell,2026-09-02,morningread.py:455-457 written into the rulebook on the master's ruling (EDGE_LEDGER.md:792); Lady Kara trailed in last at 5/2 with one chase start,,"born of ONE incident: Lady Kara, 2026-08-27"
flag:no-win-in-N-placer-risk,flag,src/racing_edge/selection/conviction.py,318,no win in {len(hist)} visible runs — placer risk,taught,,"RULE_AUDIT.md:39 classes it M-ish: rule #1's family, the comment-independent backstop — 'KEEP but 3b guards it (direction outranks state)'",,"CONTRADICTION: law 3b (morningread.py:131-140, master-validated 'i 100% agree') says a bare placer count is NOT fact enough to cross off an improving horse; the code crosses off hard with no direction test"
threshold:conviction:placer_risk_runs>=6,threshold,src/racing_edge/selection/conviction.py,315,len(hist) >= 6 and no win,UNRECEIPTED,,"no quote and no record for six runs; the named corpse runs the other way — Gower Prince won at 13.0 crossed as 'placer risk, no win in 11' (morningread.py:132-135)",,
aligned:finisher,aligned,src/racing_edge/selection/conviction.py,327,finisher ({mv.finisher_runs} strong finish(es) in comments),taught,,"rule #1 'read the finish, not the figures' (manner.py:1); RULE_AUDIT.md:21 KEEP",,
flag:manner-placer,flag,src/racing_edge/selection/conviction.py,329,"manner: out-battled/found little repeatedly — placer, not a nap (#1)",taught,,RULE_AUDIT.md:40 'rule #1' KEEP; morningread.py's #1 family,,
aligned:excuse-last-time,aligned,src/racing_edge/selection/conviction.py,331,excuse last time (trouble in running) — form understates it,taught,,"RULE_AUDIT.md:22 'trouble-in-running upgrade, #1 family' KEEP",,
aligned:RED-HOT,aligned,src/racing_edge/selection/conviction.py,338,RED-HOT — won its last two,taught,2026-07-09,conviction.py:333-335 the master 2026-07-09: the nap faced an in-form rival who 'absolutely pissed in' and plain winning momentum had NO lens,,
aligned:won-last-time-out,aligned,src/racing_edge/selection/conviction.py,340,won last time out,taught,2026-07-09,conviction.py:333-335 the same 2026-07-09 momentum lesson,,
caution:cold-form,caution,src/racing_edge/selection/conviction.py,345,cold form ({p}-{p} last two),UNRECEIPTED,,RULE_AUDIT.md:41 'cold form (last two 6+) | ? | no quote; bare | DEMOTE to caution'; its one named receipt runs against it — Ecclefechan won 5/1 while 'cold' on an 8-6-5-3 improving staircase,,demoted flag->caution 2026-08-27
threshold:conviction:cold_form_last_two>=6,threshold,src/racing_edge/selection/conviction.py,341,all(p >= 6 for p in recent[:2]),UNRECEIPTED,,"no quote and no record for 'sixth or worse, twice'",,
aligned:proven-course-winner,aligned,src/racing_edge/selection/conviction.py,366,proven course winner (depth),UNRECEIPTED,,RULE_AUDIT.md:24 'course winner / depth | ? | no quote found; plausible craft | TRIAL vs record' — never ruled,,the depth idea traces to the Kingofthegame/Caughtinyourtrance tells (28/26 Jun)
aligned:course-winner,aligned,src/racing_edge/selection/conviction.py,368,course winner,UNRECEIPTED,,"RULE_AUDIT.md:24 as above — '? no quote found', TRIAL vs record, never ruled",,
aligned:course-form,aligned,src/racing_edge/selection/conviction.py,378,course form (placed here — the track knows its own),taught,2026-08-28,"morningread.py:201-205 law 3h, the master after Saint Polo won at 3/1 crossed: 'bear in mind he had experience and form at this race track dont understimate that'",,"same family as the win labels, so it can never stack with them"
aligned:market-sweet-spot,aligned,src/racing_edge/selection/conviction.py,382,market sweet spot (2nd/3rd fav),field-tested,2026-08-17,"HANDOFF.md:56-59 blind 2nd-favs lose -13.8%, ours built +13.4pt — 'the ~50-point reading premium lives at ranks 2-3 behind the trapped fav'; RULE_AUDIT.md:25 R",,"field-tested (frozen snapshot 2026-08-17, not rebuildable)"
aligned:fair-priced-favourite,aligned,src/racing_edge/selection/conviction.py,421,"fair-priced favourite (#19 — the winner, not the price)",doorbell,2026-09-02,morningread.py:449-451 #19 written into the rulebook on the master's ruling (EDGE_LEDGER.md:792): 'a favourite whose price the form justifies is a lens FOR it',,RULE_AUDIT.md:26 raised an unresolved IDENTITY CONFUSION with scoreboard rule #19 (74/103 LOSING) and asked for his word on both — never answered
threshold:conviction:fair_fav_price>=2.5,threshold,src/racing_edge/selection/conviction.py,383,market_rank == 1 and price >= 2.5,UNRECEIPTED,,no quote and no record for 2.5; rule #12 says the price never disqualifies in EITHER direction (morningread.py:477-481),,"a 2.4 favourite scores nothing, a 2.5 favourite scores a dot"
caution:favourite-but-NOT-solid,caution,src/racing_edge/selection/conviction.py,417,favourite but NOT solid (...) — shield off: why NOT take him on? (2b-ii),taught,2026-08-27,"morningread.py:95-105 law 2b-ii THE FIVE-PART SOLID TEST, his word the same night 'do the above and do them surgically' (Town Queen 15/8F LAST; Ten Clarets 3rd)",,"strips the #19 dot, never erases the horse"
gate:conviction:solid_hole_never_won,gate,src/racing_edge/selection/conviction.py,400,"not any(h.position == 1 for h in hist) -> ""never won""",taught,2026-08-27,"morningread.py:99-103 'SOLID means ALL FIVE — short price + in form + HAS ACTUALLY WON + RACE-FIT today + PROVEN AT THE MARK' (Ten Clarets, BF fav who had NEVER won)",,
threshold:conviction:solid_hole_days>=60,threshold,src/racing_edge/selection/conviction.py,402,runner.days_since_run >= 60 and not dominant,UNRECEIPTED,,"law 2b-ii says 'RACE-FIT today (a long absence...)' with no number; 60 is the apprentice's cut between Town Queen (70 days, LAST) and Forty Years On (79, WON)",,
gate:conviction:solid_hole_first_run_off_raise,gate,src/racing_edge/selection/conviction.py,405,"mr.delta > 0 and mr.since == 0, with the bounce/hike carve-outs",taught,2026-08-27,"morningread.py:103 'PROVEN AT THE MARK (not the first run off a raise)'; the bounce carve-out is 3g-ii (Captain Cairney WON, Gore Point LAST)",,
aligned:in-form-yard,aligned,src/racing_edge/selection/conviction.py,426,in-form yard ({round(stable_strike*100)}%),taught,2026-07-03,"conviction.py:157-163: two stronger profiles (I'm Next, Giant Haystacks — both won) sat capped and the master asked 'why weren't these part of today's read?'",,RULE_AUDIT.md:27 KEEP (#5 intent)
threshold:conviction:stable_strike>=0.15,threshold,src/racing_edge/selection/conviction.py,425,stable_strike >= 0.15,UNRECEIPTED,,no quote and no record for 15%; the same 0.15 is reused in tells._headgear_key (tells.py:86) with no receipt there either,,
threshold:pipeline:stable_runs>=8,threshold,src/racing_edge/pipeline/nap.py,326,ev.stable_runs >= 8 before a strike is computed,UNRECEIPTED,,no quote and no record for an eight-run sample floor under the in-form-yard dot,,
aligned:stables-#1-rider-up,aligned,src/racing_edge/selection/conviction.py,428,stable's #1 rider up (intent),taught,2026-07-03,conviction.py:157-163 (#5 intent — half the I'm Next jigsaw: 17% yard + stable's #1 up); RULE_AUDIT.md:27 KEEP,,
aligned:local-master-yard,aligned,src/racing_edge/selection/conviction.py,431,"local master yard ({%} at this course, {n} runs — #10)",doorbell,2026-09-02,"morningread.py:443-445 '#10 LOCAL MASTER YARD — the trainer's win rate AT TODAY'S COURSE over ten or more runs, well above the yard's baseline', on his ruling",,"founding receipt: Cartmel / Moffatt, 26 Jun"
threshold:conviction:local_runs>=10,threshold,src/racing_edge/selection/conviction.py,430,local_runs >= 10,doorbell,2026-09-02,morningread.py:444 'over ten or more runs' — ratified by being written into the rulebook as coded (EDGE_LEDGER.md:792),,"ratified by documentation, never by a record test"
threshold:conviction:local_strike>=0.18,threshold,src/racing_edge/selection/conviction.py,430,local_strike >= 0.18,UNRECEIPTED,,the rulebook says 'well above the yard's baseline' (morningread.py:445) — 18% is a fixed number standing in for a comparison the code never makes,,
aligned:trip-proven,aligned,src/racing_edge/selection/conviction.py,445,"trip proven ({%} over this distance, {n} runs)",taught,2026-07-26,morningread.py:78-80 rule 2 (#29): 'course/trip fit' is one of the jigsaw's pieces,,
threshold:conviction:trip_strike>=0.25_runs>=4,threshold,src/racing_edge/selection/conviction.py,444,trip_runs >= 4 and trip_strike >= 0.25,UNRECEIPTED,,"RULE_AUDIT.md:29 'trip proven | ? | thresholds (25%, 4 runs) invented | TRIAL vs record' — never ruled",,
threshold:conviction:trip_same_code_tolerance_1f,threshold,src/racing_edge/selection/conviction.py,440,abs(h.distance_f - race.distance_f) <= 1.0,field-tested,2026-07-21,conviction.py:433-436: the distance-times endpoint aggregates the career across codes — 3-from-8 over 2m hurdles read 'trip proven' for a 2m flat race,,the recompute is receipted; the +/-1 furlong tolerance itself is not
aligned:course-jockey,aligned,src/racing_edge/selection/conviction.py,450,"course jockey ({%} here, {n} rides — #30)",doorbell,2026-09-02,"morningread.py:453-455 '#30 THE COURSE JOCKEY — a rider at 15% or better here over fifteen or more rides is a lens for', written in on his ruling",,"RULE_AUDIT.md:30 'cutoffs invented'; ratified by documentation, not by a record test"
threshold:conviction:jockey_course_15pct_15rides,threshold,src/racing_edge/selection/conviction.py,448,jockey_course_rides >= 15 and jockey_course_strike >= 0.15,doorbell,2026-09-02,"morningread.py:454 the cutoffs as coded, ratified into the rulebook",,"ratified by documentation, never by a record test"
flag:jockey-0-of-N-at-course,flag,src/racing_edge/selection/conviction.py,453,jockey 0/{jockey_course_rides} at this course (#30),doorbell,2026-09-02,morningread.py:455 'a rider 0 from many here is a flag against',,"RULE_AUDIT.md:46 'KEEP, receipt the cutoff' — the 25-ride cutoff was never receipted"
threshold:conviction:jockey_zero_rides>=25,threshold,src/racing_edge/selection/conviction.py,452,jockey_course_strike == 0.0 and jockey_course_rides >= 25,UNRECEIPTED,,RULE_AUDIT.md:46 names the 25-ride cutoff as invented and asks for a receipt; none was ever given,,
aligned:local-course-master,aligned,src/racing_edge/selection/conviction.py,457,local course master,taught,,"tells.py:101-110 rule #10: Caughtinyourtrance / James Moffatt, Cartmel 26 Jun — the 7x course champion beat the engine's Irish raider at 7/4",,
aligned:headgear-key,aligned,src/racing_edge/selection/conviction.py,459,headgear key,field-tested,,"tells.py:81-83 King Of Earth, 28 Jun, and 10% of winners across the 101-race study DB — first-time headgear from a yard in form",,
caution:rising-mark-trap,caution,src/racing_edge/selection/conviction.py,466,rising-mark trap,UNRECEIPTED,,"RULE_AUDIT.md:45 '? trial 1-1: right on Molly Mac (11/8F beaten), WRONG on Thickthorn Tom — crossed the solid fav who won 5/4 while the engine was cornered onto Lady Kara'",,"born of ONE incident (Halfway House Lad, 28 Jun); demoted flag->caution 2026-08-27"
flag:improver-favourite,flag,src/racing_edge/selection/conviction.py,470,"improver-favourite (unexposed, short price)",field-tested,,RULE_AUDIT.md:42 'R | the profile that beat me twice (Loch Cuan / Who's Lope)' — both beat the engine at short prices,,"CONTRADICTION: the rulebook ends '...a flag, and the species question (3i) decides' (morningread.py:456-459) — the code runs no species test and the flag disqualifies. EDGE_LEDGER.md:872 asked for demotion to caution; unruled"
threshold:conviction:improver_fav_cuts,threshold,src/racing_edge/selection/conviction.py,469,len(history) <= 4 and market_rank == 1 and price <= 3.0,UNRECEIPTED,,no quote and no record for the three cuts; law 3i's own species line is 'roughly <=5-6 career runs' (morningread.py:337-338) while the code uses 4,,
flag:all-weather-caution,flag,src/racing_edge/selection/conviction.py,472,all-weather caution (#14),UNRECEIPTED,,RULE_AUDIT.md:43 '? no quote anywhere in the code; DOUBLE-TAXES with the receipted race-level AW -1; crossed ~40 horses/day... KILL the per-horse flag' — never ruled,,"CONTRADICTION: the rulebook says '#14 THE ALL-WEATHER CAUTION... a caution, never a cross' (morningread.py:448-450); the code appends it to FLAGS, which disqualify"
flag:big-field-lottery,flag,src/racing_edge/selection/conviction.py,474,big-field lottery,field-tested,2026-08-17,RULE_AUDIT.md:44 'R | fingerprint study: 12+ top-3 collapses' — but the same row rules 'MOVE to race level only (already scored there)',,"field-tested (frozen snapshot 2026-08-17, not rebuildable); double-counts with the race-level -1 at nap.py:98"
threshold:conviction:big_field>=16,threshold,src/racing_edge/selection/conviction.py,473,field_size >= 16,UNRECEIPTED,,"the study's own cut is 12 (nap.py:63, HANDOFF.md:49 'fields <=11; 12+ collapses to ~55%'); 16 is a second, unreceipted cut",,
threshold:conviction:manner_window_4,threshold,src/racing_edge/selection/conviction.py,324,nap_verdict over hist[:4] comments,UNRECEIPTED,,no quote and no record for a four-run comment window,,
threshold:conviction:momentum_window_3,threshold,src/racing_edge/selection/conviction.py,336,recent = positions of hist[:3],UNRECEIPTED,,no quote and no record for a three-run momentum window,,
constant:mark:STALE_RUNS,constant,src/racing_edge/domain/mark.py,16,STALE_RUNS = 10,field-tested,2026-07-25,mark.py:42-46 the Woodstock audit: a horse that has not won in 10+ runs reads 'well-in' against its ancient winning mark precisely BECAUSE it kept losing,,'the one window the record has receipted' (mark.py:17)
term:mark:delta_defines_well_in,term,src/racing_edge/domain/mark.py,32,"today - last_won; <= 0 = WELL-IN, +ve = raised",taught,,"mark.py:1-7 the master's decisive read; tells.py:114-117 Caughtinyourtrance, 26 Jun: 'on a mark it's capable of winning off'",,
gate:mark:same_code_anchor,gate,src/racing_edge/domain/mark.py,76,the winning anchor must be the same code,field-tested,2026-07-21,mark.py:63-66 caught by the deep read mid-pass: a flat mark of 61 compared against a hurdles win off 107 produced a fantasy 'WELL-IN -46lb',,
gate:mark:blank_typed_win_refused,gate,src/racing_edge/domain/mark.py,78,bool(h.race_type) and race_code(h.race_type) == code,field-tested,2026-07-21,"mark.py:90-92 'the sacred mark gate is stricter — mark_read refuses a blank-typed win as its anchor, because a fantasy well-in is worse than an OWED one'",,
term:mark:since_counted_same_code,term,src/racing_edge/domain/mark.py,69,since = same-code runs between today and the win,field-tested,2026-07-25,"mark.py:69-72 adversarial review: the raw index counted a dual-code horse's jumps runs against its flat anchor — a horse that won its last flat start read 'STALE, 10 back'",,
term:mark:win_class_carried,term,src/racing_edge/domain/mark.py,26,win_class: the CLASS the anchoring win came in,taught,2026-07-26,mark.py:26-28 the master 2026-07-26: 'well-in can mean nothing if he is up in grade',,
gate:mark:blank_type_kept_for_soft_lenses,gate,src/racing_edge/domain/mark.py,94,not h.race_type or race_code(h.race_type) == code,field-tested,2026-07-21,"mark.py:88-92 the contamination audit: 'a blank race_type is a data gap, not evidence of the wrong code' — those runs stay in for the SOFT lenses",,
constant:manner:_FINISHER,constant,src/racing_edge/domain/manner.py,22,the winning-flourish phrase list,taught,,"manner.py:1-11 rule #1 'read the finish, not the figures' — 'the phrase lists ARE the handicapper's vocabulary'; the 2026-07-01 addition ('asserted') is a self-study receipt",,"the 2026-09-02 audit additions (ridden out, pushed out, kept on to win) cite no number and no record"
constant:manner:_TROUBLE,constant,src/racing_edge/domain/manner.py,35,the excuse / trouble-in-running phrase list,taught,,"manner.py:1-8 rule #1's trouble upgrade — the bare result lies, do not downgrade",,"the 2026-09-02 'reads bot' additions (hung left/right, too keen, pulled hard) cite no number and no record"
constant:manner:_NON_FINISHER,constant,src/racing_edge/domain/manner.py,47,the nearly-type phrase list,taught,,rule #1's 'again'; the led-and-caught additions are field-tested (Woodstock 2026-07-25: 'driven to the front... overtaken inside the final 110 yards' read NEUTRAL),,
constant:manner:_GREEN,constant,src/racing_edge/domain/manner.py,59,the green / unfurnished phrase list,UNRECEIPTED,,no quote and no record; nothing downstream reads a 'green' manner — it only displaces other classifications through the priority order,,classifier only
term:manner:priority_order,term,src/racing_edge/domain/manner.py,93,finisher > trouble > non_finisher > green,UNRECEIPTED,,"'a winning flourish first (it finished)' is the apprentice's ordering — no quote, no record",,decides which of two phrases in one comment wins
threshold:manner:place_only_nonf>=2,threshold,src/racing_edge/domain/manner.py,134,nonf >= 2 and nonf >= fin,taught,,"manner.py:5-8 rule #1's 'again': a repeated out-battled/found-little profile is a placer, not a NAP",,the count 2 operationalises 'repeatedly'; no number receipted
threshold:manner:win_positive,threshold,src/racing_edge/domain/manner.py,140,"recent == ""finisher"" or (fin >= 1 and fin > nonf)",UNRECEIPTED,,no quote and no record for this combination,,
threshold:manner:excuse_upgrade,threshold,src/racing_edge/domain/manner.py,143,"recent == ""trouble"" or (trouble and trouble >= nonf)",UNRECEIPTED,,no quote and no record for this combination,,
gate:manner:winner_never_non_finisher,gate,src/racing_edge/domain/manner.py,124,"if m == ""non_finisher"" and pos == 1: m = ""finisher""",field-tested,2026-07-25,"manner.py:115-118 adversarial review: 'made most, headed over 1f out, kept on to lead again close home, won going away' classified non_finisher on the word 'headed'",,
threshold:manner:run_style_2_of_the_comments,threshold,src/racing_edge/domain/manner.py,82,read >= 2 and fronts >= 2 and fronts > helds,taught,2026-07-26,manner.py:74-76 the master 2026-07-26: the morning read stamped 'run-style OWED' daily while HOLDING the comments that answer it,,the lens is taught; the >=2 counts are the apprentice's
term:tells:cdg_winner_returning,term,src/racing_edge/domain/tells.py,44,TELL — course/distance/going winner ({depth}) back at today's exact conditions,field-tested,,"tells.py:47-50 Kingofthegame 28 Jun (beat a flashier improver), refined by the Caughtinyourtrance miss 26 Jun — depth of course form matters",,DISPLAY ONLY in the engine: conviction.py:455-466 maps only LOCAL MASTER / headgear / distrust into the score
caution:tells:hat_trick_trap,caution,src/racing_edge/domain/tells.py,61,TELL — won its last two off a rising mark... distrust as a banker,UNRECEIPTED,,"one incident (Halfway House Lad, 28 Jun); RULE_AUDIT.md:45 classes the resulting rising-mark trap '?' with a 1-1 trial record",,this is the tell behind caution:rising-mark-trap
threshold:tells:hat_trick_price<=3.0,threshold,src/racing_edge/domain/tells.py,66,price <= 3.0,UNRECEIPTED,,no quote and no record for the 3.0 cut,,
threshold:tells:headgear_yard_4runs_15pct,threshold,src/racing_edge/domain/tells.py,86,runs >= 4 and (wins / runs) >= 0.15,UNRECEIPTED,,the tell is receipted (King Of Earth; 10% of winners in the 101-race study); the in-form-yard cutoffs under it are not,,
constant:tells:_COURSE_MASTERS,constant,src/racing_edge/domain/tells.py,96,"{""cartmel"": (""moffatt"",)}",field-tested,,"tells.py:101-110 Caughtinyourtrance / Moffatt, Cartmel 26 Jun: the 7x course champion beat the nap at 7/4 (rule #10)",,"one course, one yard — never grown"
term:tells:_well_in,term,src/racing_edge/domain/tells.py,114,TELL — WELL-IN ({mr.verdict}),taught,2026-07-26,the mark law (mark.py:1-7); mirrors conviction's own read so the two never disagree,,display only — not mapped into aligned
threshold:tells:_same_trip_1f,threshold,src/racing_edge/domain/tells.py,38,abs(h.distance_f - race.distance_f) <= 1.0,UNRECEIPTED,,no quote and no record for the one-furlong tolerance,,
threshold:profile:well_in_and_proven,threshold,src/racing_edge/domain/profile.py,40,weight 5.0 when wv <= -2 and won at the level; else 3.0,UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
threshold:profile:class_drop,threshold,src/racing_edge/domain/profile.py,53,weight 4.0 — won at a higher grade than today,UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
threshold:profile:class_ceiling,threshold,src/racing_edge/domain/profile.py,65,"weight -4.0 VETO — 3+ runs at the level, no win",UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
threshold:profile:topped_out,threshold,src/racing_edge/domain/profile.py,77,weight -4.0 — only won below today's class,UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
threshold:profile:going_proven,threshold,src/racing_edge/domain/profile.py,86,weight 4.0 won on the band / -4.0 on 4+ unplaced,UNRECEIPTED,,no quote and no record for the weight or the cut; profile.py's signal weights were never ruled on and never graded,,DEAD CODE — selection/case.py assess() has no caller in the pick path (only RunnerEvidence is imported); nothing here reaches a pick
